"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population
Uganda,"171,983",N/A,"3,632                                ",N/A,"100,431",N/A,"67,920",N/A,"3,551",75,"3,012,408","62,198","48,432,863 "
Ghana,"171,889",N/A,"1,462                                ",N/A,"170,425",N/A,2,N/A,"5,306",45,"2,541,625","78,456","32,395,450 "
Jamaica,"156,869",N/A,"3,756                                ",N/A,N/A,N/A,N/A,N/A,"52,551","1,258","1,183,986","396,633","2,985,094 "
Cambodia,"139,097",N/A,"3,056                                ",N/A,"136,040",N/A,1,N/A,"8,102",178,"3,091,420","180,062","17,168,639 "
Rwanda,"133,518",N/A,"1,468                                ",N/A,"132,039",N/A,11,N/A,"9,817",108,"6,021,981","442,778","13,600,464 "
Cameroon,"125,379",N/A,"1,974                                ",N/A,"123,280",N/A,125,N/A,"4,492",71,"1,751,774","62,762","27,911,548 "
Malta,"121,410",N/A,885                                ,N/A,"120,144",N/A,381,N/A,"273,426","1,993","2,169,412","4,885,700","444,033 "
Barbados,"110,575",N/A,648                                ,N/A,"108,647",N/A,"1,280",N/A,"383,910","2,250","814,159","2,826,715","288,023 "
Angola,"107,323",N/A,"1,937                                ",N/A,"103,419",N/A,"1,967",N/A,"3,064",55,"1,499,795","42,818","35,027,343 "
Channel Islands,"101,717",N/A,228                                ,N/A,"101,321",N/A,168,N/A,"576,421","1,292","1,252,808","7,099,551","176,463 "
DRC,"99,338",N/A,"1,468                                ",N/A,"84,489",N/A,"13,381",N/A,"1,043",15,"846,704","8,890","95,240,792 "
French Guiana,"98,041",N/A,420                                ,N/A,"11,254",N/A,"86,367",6,"312,065","1,337","651,257","2,072,951","314,169 "
Malawi,"89,535",N/A,"2,686                                ",N/A,N/A,N/A,N/A,N/A,"4,437",133,"624,784","30,959","20,180,839 "
Senegal,"89,053",N/A,"1,971                                ",N/A,"87,024",N/A,58,N/A,"5,044",112,"1,146,543","64,946","17,653,671 "
Ivory Coast,"88,384",N/A,835                                ,N/A,"87,497",N/A,52,N/A,"3,186",30,"1,690,934","60,951","27,742,298 "
Suriname,"82,588",N/A,"1,408                                ",N/A,N/A,N/A,N/A,N/A,"138,378","2,359","242,207","405,822","596,831 "
New Caledonia,"80,064",N/A,314                                ,N/A,N/A,N/A,N/A,N/A,"275,214","1,079","98,964","340,182","290,915 "
French Polynesia,"79,254",N/A,650                                ,N/A,N/A,N/A,N/A,N/A,"278,902","2,287",N/A,N/A,"284,164 "
Eswatini,"75,191",N/A,"1,427                                ",N/A,"73,116",N/A,648,N/A,"63,462","1,204","1,048,704","885,119","1,184,817 "
